,name,ideal_point_0,ideal_point_1,ideal_point_2,ideal_point_3,ideal_point_4,ideal_point_5,ideal_point_6,ideal_point_7,ideal_point_8,ideal_point_9,ideal_point_10,ideal_point_11,ideal_point_12,ideal_point_13,ideal_point_14,ideal_point_15,ideal_point_16,ideal_point_17,ideal_point_18,ideal_point_19,ideal_point_20,ideal_point_21,ideal_point_22,ideal_point_23,ideal_point_24,ideal_point_25,ideal_point_26,ideal_point_27,ideal_point_28,ideal_point_29
0,"1
",-0.3567622,-0.2237764,-0.08258385,-0.0154612,0.029908339,0.001276779,0.3635007,0.027664507,1.2685742,-0.034955755,0.6090865,-0.20310712,0.0036987045,-0.009721057,0.7746955,-0.33298525,0.20942655,0.12947895,0.66940707,0.12694006,0.11650413,0.03480258,0.036367025,-0.006975148,0.031810895,0.04830931,-0.16400176,-0.26227027,-0.018661067,0.017128943
1,"3
",0.3978868,0.011666698,-0.034763575,-0.4025909,0.242668,0.0047571664,-0.029726584,-0.057473045,-0.016750481,0.016037412,0.04676562,0.3224167,-0.032096636,0.12159163,-0.06818984,-0.120893694,-0.00069232844,-0.18441656,0.18712346,0.006129343,-0.058173817,0.006486911,-0.19420403,-0.06683889,0.11966634,-0.025219526,0.057812277,0.24904485,0.017750138,-0.020726943
2,"319
",-0.05171843,-0.00808157,-0.0067214794,0.0027681119,-0.011523448,0.0019544947,-0.06775562,0.09672936,-0.08425971,0.021241048,-0.04970275,-0.61915666,-0.016685132,0.01328044,-0.0010484416,-0.06198984,0.05779546,-0.022073863,0.04084351,0.02445041,-0.07879169,-0.0030451186,-0.021868492,-0.027715858,0.051812362,0.03944689,0.03502625,-0.027729338,-0.007913745,0.012593439
3,"1057
",-0.008683252,-0.034005128,0.034087438,-0.09485775,0.09273597,0.0023252233,0.057636615,0.237927,0.87575465,1.3317789,0.48617864,-0.23849784,0.014485102,-0.055913,0.107846,0.010026583,0.109162055,0.0061619114,-0.1012459,0.2730685,-0.026921289,0.018704403,-0.05954393,-0.0006675628,0.16163899,-0.24949029,0.036241252,-0.025995625,0.00061139045,0.025403528
4,"1088
",0.015651274,0.3059354,-0.051520247,-0.016534092,-0.27593413,-0.01806587,0.37865674,0.062381268,-0.034534782,-1.5019441,0.052737717,0.024557212,0.015311105,-0.03461884,-0.02899831,0.021006206,-0.015239119,0.1175148,0.14174725,-0.0060008448,-0.0041920524,0.0051965425,0.030399486,0.013963303,0.037081774,0.045911904,0.051106792,1.1744971,0.08353463,-0.048849236
5,"1091
",-0.103517205,0.043163717,-0.054629534,-0.090219945,0.49109235,0.00065479195,-0.08093388,0.26094565,-0.06513098,0.034072135,-0.028615516,0.044344354,-0.108907774,-0.0068891253,-0.060449366,0.22326955,-0.07650654,0.2597436,0.15634045,0.056829005,0.12426873,0.016645119,0.022434676,0.018361919,0.024115594,0.019530926,0.13459574,-0.09888703,-0.09725186,0.051391978
6,"1265
",0.20549698,0.011562801,-0.3419633,-0.017625533,-0.28951702,-0.0019958986,0.26940292,-0.07028099,-0.046158977,0.05689018,-0.11484661,0.11352048,-0.002810462,-0.05634622,-0.060809232,0.014106479,-0.026290635,-0.019904261,-0.073035955,0.050923754,-0.16806415,0.013063062,0.22365232,-0.02245908,0.1341758,0.00972552,0.052790042,0.12739082,0.001767991,0.062831245
7,"1464
",1.3720789,0.027219815,-0.03655077,0.0069219614,0.014977412,0.0057932674,-0.0068557626,-0.06290475,-0.04377288,-0.04534574,-0.20317012,0.017037503,0.024559852,-0.09069586,-0.008616009,0.017737124,0.15641835,-0.00614031,-0.17086086,0.0020223577,-0.011076582,-0.006446659,0.010704248,0.0011570901,0.05839183,0.039681986,-0.0019903688,-0.069752544,-0.0061106547,-0.07276149
8,"1549
",-0.050295185,0.097312406,-0.0030018843,0.0552857,-0.48763147,0.013085115,0.3764679,0.03922465,0.34173936,0.02585581,0.081068955,-1.1129997,0.030550765,-0.029619263,-0.06987529,-0.5065796,0.16157809,-0.10302019,-0.11691218,-0.1748439,-0.050969493,-0.013987349,0.026792478,0.01067563,0.060426347,0.07133028,0.57334393,-0.6203163,-0.014795566,-0.07628087
9,"2151
",-0.32014087,0.15790953,0.43887946,0.23636761,0.11590547,-0.0074082017,-0.28718665,-0.1695435,-0.113188624,-0.8748513,0.05505332,-0.814955,-0.0051825615,0.013665702,-0.12888987,0.060055707,-0.033279702,0.12138588,-0.092495605,0.021482944,-0.040277056,0.009095216,0.059849117,-0.15789902,-0.08631345,0.03525629,0.124990135,0.8653114,0.025246,-0.18068737
