,name,ideal_point_0,ideal_point_1,ideal_point_2,ideal_point_3,ideal_point_4,ideal_point_5,ideal_point_6,ideal_point_7,ideal_point_8,ideal_point_9,ideal_point_10,ideal_point_11,ideal_point_12,ideal_point_13,ideal_point_14,ideal_point_15,ideal_point_16,ideal_point_17,ideal_point_18,ideal_point_19,ideal_point_20,ideal_point_21,ideal_point_22,ideal_point_23,ideal_point_24,ideal_point_25,ideal_point_26,ideal_point_27,ideal_point_28,ideal_point_29
0,"1
",0.03496818,0.16795915,0.006562532,0.03222007,0.019105269,0.025009574,-0.0065167258,0.16235165,-0.3448249,-0.0050874944,0.040477633,-0.1615241,0.013321287,0.029032473,-0.09391476,0.019101672,0.008990401,0.22694322,0.15877396,-0.009247002,-0.05169396,-0.023172582,0.38156104,0.3204722,-0.1640476,-0.015023274,-0.28499737,-0.04845453,-0.036942206,0.020181473
1,"3
",-0.014799509,-0.10204611,0.023787351,0.06340525,-0.04633875,0.008884967,-0.030202474,0.14296976,-0.10023843,-0.004704573,-0.1981982,-0.26171765,0.089806505,0.028489983,0.024060223,0.030177983,0.018000294,0.012416172,-0.12269501,0.004672679,-0.3184109,-0.050887287,-0.046932165,-0.11951093,-0.017659683,-0.016022349,-0.10290996,-0.031709015,-0.008617959,0.013179525
2,"319
",0.0022028368,0.19338675,0.005553433,0.07456353,0.009281215,-0.0037122613,-0.017369932,0.04911181,-0.06767805,0.005011759,0.021238007,0.011564915,-0.021109601,0.016921882,-0.013371072,-0.0027522957,-0.00752388,0.031127756,0.068960704,0.01501184,-0.096537925,0.0072594,0.043067046,0.10700928,0.07038149,-0.0053287535,-0.010074695,-0.018655246,-0.0072309645,-0.008000225
3,"1057
",0.003697727,0.5588818,0.023753693,0.05756963,0.045498088,0.009999876,0.03250694,-0.04203167,-0.4535255,0.021137979,0.022302914,-0.012720252,-0.079077184,-1.56766,0.027174894,-0.011967925,-0.0022360943,-0.037653074,0.119081154,-0.00084625056,-0.20013653,-0.031745184,-0.07894754,0.30654144,-0.015920788,-0.016774056,0.029103128,0.29008827,-0.046534907,0.0018318575
4,"1088
",0.005363218,-0.0049181706,-0.022926018,0.031253874,-0.003226666,-0.014682554,0.010299307,-1.5573307,-0.11532097,-0.00685385,0.048271377,0.017522506,-0.032775056,0.013952806,0.004986536,0.056225136,-0.0039011135,0.5529829,0.124436505,-0.001257564,0.0018083417,-0.015769012,0.083759315,0.41217092,-0.06552622,-0.017038729,-0.04151646,-0.03565494,0.0134339845,-0.028799618
5,"1091
",0.010162956,0.028172756,0.0009000582,0.06360268,0.012510899,-0.004701693,0.008544588,0.03646201,0.005066092,-0.0075028487,0.057542045,0.15283231,-0.051778305,-0.32873082,0.019797007,0.007696627,-0.024805842,-0.0015016686,-0.42624262,-0.010186431,0.47632447,-0.025051352,0.47797194,-0.045984235,-0.021276219,0.004089331,0.036381256,-0.044039708,-0.06474951,-0.00700615
6,"1265
",0.009857727,0.1381684,-0.001988365,0.056323297,-0.06849633,0.0012246132,0.00026126028,-0.062325433,-0.08349863,-0.038323842,-0.19681889,0.18243262,0.05959045,0.0024947897,0.025221964,-0.0026390716,0.027412467,0.27852544,-0.036505897,0.014404739,-0.029957425,-0.02356229,0.12414448,0.1310255,0.8615904,0.02551579,0.2761447,-0.09155487,-0.049913783,0.013822244
7,"1464
",-0.0031759082,0.04875023,0.042923465,0.0689558,0.017621689,0.0017614468,-0.016787961,-0.00010538931,0.12213135,-0.0063299653,0.016228309,0.043653674,0.039994564,0.010376009,0.016655425,0.030663315,-0.0024565703,0.24888663,-0.7261051,-0.009381094,0.7570719,-0.008030484,-0.10502321,-0.041564386,-0.08400293,0.025978595,-0.10172876,-0.017957728,1.3382733,-0.0146990465
8,"1549
",0.0030889101,0.05529839,-0.0076021003,0.038382433,0.009050391,6.797259e-05,-0.0229862,0.15362003,0.076827474,0.007152407,0.023734802,0.047962856,0.0034816135,0.008426914,-0.010816491,-0.0007817312,0.0021232266,-0.0025618211,0.05962655,0.0013111511,-0.07850463,-0.0014707411,0.1351851,0.09109821,-0.032939505,-0.0007332672,-0.015390675,-0.019829925,-0.017196592,0.0071448605
9,"2151
",0.01108307,-0.038860835,-0.011184589,0.057259,0.29820055,0.036477413,0.024374403,-0.84946537,-0.22855693,0.0037856272,0.078377314,0.16068575,-0.00030165163,-0.0031869404,-0.005559756,0.010365901,0.010529253,0.06335577,0.11208761,0.0013494618,-0.5701879,0.015996983,0.35012525,-0.059406336,-0.16534844,-0.0077856435,-0.02443932,0.031450503,-0.011667909,-0.009778361
10,"2157
",0.0016590322,0.013506306,0.00790621,0.06812777,-0.02302228,0.01738703,-0.00062973076,0.15659297,0.18178771,-0.0133300675,-0.11242946,-0.14997867,0.16862682,0.026482778,0.0057904813,0.014865808,0.0057394607,-0.008608475,0.09159775,0.015416244,-0.020738274,0.0037737656,-0.064098716,-0.11355441,-0.08218165,0.002548549,0.1049913,-0.053588327,0.010975972,-0.0033903697
11,"2164
",0.018321604,-0.21527933,0.022187563,0.06997531,0.01107202,0.0057354546,-0.02095207,-0.10465525,-0.06961352,-0.013180192,0.034241494,0.09549836,-0.0120958695,0.015270304,-0.033059493,0.027455337,0.0023660033,0.0041436134,0.24270612,-0.0038639556,-0.3670397,0.02457336,-0.29093957,0.24262437,-0.106689855,0.016303055,-0.2967681,0.006076005,-0.0015284214,0.012200378
12,"2425
",0.016506728,0.34851232,-0.032201853,0.07808546,0.0095732985,0.0022540167,-0.011548256,0.18345182,-0.10092083,-0.0057308767,0.09881905,0.15828696,0.042706598,-0.007033567,-0.070896186,0.012920013,-0.018582944,-0.18459432,-0.8313162,-0.007195639,0.32458112,0.0105066085,0.24834433,0.16299619,-0.12124028,-0.020158386,-0.1431586,0.013437207,-0.02086544,-0.031080777
13,"3330
",-0.0105690705,-1.0223505,0.022990024,0.03600645,-0.039582614,0.008948111,0.0012815524,0.13540375,-0.054174285,0.007190852,-0.73202217,0.4210086,-0.044826187,0.006180336,-0.05602464,0.042424038,-0.040043965,0.16402529,0.11199628,0.006405419,-0.23466642,0.017386833,-0.1928249,0.2596579,0.016375275,-0.008835574,-0.038109105,-0.031048588,-0.014931158,-0.006553788
14,"3332
",0.009640479,0.0056905113,-0.01511652,-0.20106223,-0.002434556,0.0031926604,-0.0069388184,0.110026844,-0.039139044,0.019625988,0.042107698,-0.14853029,-0.053395335,0.014290035,0.004126349,0.012663352,0.0052224384,0.2698986,0.09366755,0.011534334,0.27234897,-0.005732509,-0.2440837,-0.012594749,-0.06429965,0.0142365005,0.008992998,0.0035361797,0.021264454,-0.027387813
