,name,ideal_point_0,ideal_point_1,ideal_point_2,ideal_point_3,ideal_point_4,ideal_point_5,ideal_point_6,ideal_point_7,ideal_point_8,ideal_point_9,ideal_point_10,ideal_point_11,ideal_point_12,ideal_point_13,ideal_point_14
0,"3
",-0.025482908,-0.32048258,0.0273723,0.16365115,0.13434066,0.05726769,-0.03484575,0.08010628,0.22320125,0.052755024,0.055600088,0.067988776,-0.0651506,0.022261268,0.0077601285
1,"1057
",-0.049708635,-0.065069586,-0.016528338,0.841824,0.075721934,0.05392487,0.06418293,0.023333669,0.036415365,-0.006261908,-0.14169092,0.019036496,0.86261517,0.03333584,-0.10743397
2,"1088
",-0.26678848,-0.776419,-0.3290774,-0.5954329,0.029998055,0.0060633635,0.038490117,0.011681887,1.5956036,0.012094091,1.9013617,-0.1535832,0.20568043,0.039260652,-0.02124572
3,"1265
",0.03932788,-0.023724059,0.010531272,0.33188286,0.0053764503,-0.092374474,-0.0036227282,0.0510085,0.1897467,-0.036680084,0.028992984,0.49213776,0.19015867,0.030838612,-0.008241774
4,"1464
",0.18017007,-0.009708642,0.0068862373,-0.10012207,0.011415536,0.07554649,0.0032049252,0.08380653,-0.124030456,0.031899467,-0.0024832014,-0.7986997,-0.0012337094,0.017901614,0.048884556
5,"1549
",-0.23990114,-0.072462864,-0.3306083,0.29478428,1.2036558,-0.14401872,-0.037422355,0.19256654,1.319832,-1.9101734,0.6960747,-0.09450376,0.20475975,0.003380131,-0.21950176
6,"2151
",0.8965215,-0.7526353,0.10498514,0.019458573,0.3974345,-0.28129154,0.9466235,-0.13776217,0.18351677,-0.041036528,0.115802564,-0.2238295,0.60924685,0.058681324,-0.123337515
7,"2157
",-0.23107375,-0.061615232,0.027230846,0.034259986,0.0037170635,0.05807281,-0.0136353355,0.0009884803,-0.3405215,0.040707886,0.019428257,-0.33029568,0.014350912,-0.0048478046,-0.043099575
8,"2164
",-0.01885671,-0.052763246,-0.03584464,-0.5424586,-0.026251972,-1.4404705,-0.015429209,0.07188443,-0.14748457,0.045987796,0.18779938,-0.41341764,0.08250276,0.02215752,0.05466348
9,"3332
",-0.42787236,0.16928719,-0.12598018,0.09197294,-0.041684996,-0.37540236,0.0014933704,0.04666204,-0.11830421,0.08310625,0.106637396,0.12108864,-0.15422155,0.024386296,-0.41598916
10,"3529
",0.44974184,0.7343679,-0.07373535,0.111327514,-0.1447945,0.080338694,-0.004798556,0.09153644,0.19823244,-0.03253335,0.0009171456,-0.01860152,-0.2292095,0.029041603,0.13516861
11,"3577
",-0.47261134,-0.43111947,-0.0953423,-0.3646775,-0.13580573,0.038342416,-0.03802908,0.023814581,-0.065697365,0.0037341404,-0.024448324,-0.2175378,-0.40052822,0.04628247,-0.26595256
12,"3731
",-0.124609835,0.055103153,0.04529167,0.28983817,0.0036388412,0.052958973,-0.01783401,0.10619889,0.14698306,0.07419032,-0.04358622,0.2042373,-0.014466062,0.02560297,-0.1950997
13,"4008
",-0.10658274,-0.54137635,-0.21694791,-0.18311054,-0.03267162,-1.0299065,0.008424899,-0.12517023,0.62337214,0.052625082,-0.047932394,-0.66536,0.18274592,-0.0043880944,-0.22771664
14,"4281
",-0.16380736,-0.6628649,0.05262443,-0.0009226078,0.0027444037,0.10219461,-0.0062040607,0.07112233,-0.1293414,0.04348892,-0.055777974,0.12985764,-0.08101783,0.061946455,0.559125
15,"4363
",-0.08617344,-0.100806564,-0.07600781,0.039291702,0.3085869,0.03603569,-0.014998934,-0.077207714,-0.5575886,0.0061525237,0.02702932,-0.04763444,0.19343883,-0.037225842,-0.5155246
16,"4543
",0.11708349,-0.16807288,-0.04281241,0.011779149,-0.017280377,0.025751213,-0.042668983,-0.006940782,-0.8179891,0.027943252,0.052014127,0.0077392976,0.07689646,0.0009444937,0.39521417
17,"4682
",-0.034413688,-0.1014262,0.02918908,0.2518747,-0.027071731,0.06988842,-0.055798292,0.024734637,0.018944915,0.01576607,0.10840287,0.11450133,-0.014906317,5.7809837e-05,-0.06535908
