,name,ideal_point_0,ideal_point_1,ideal_point_2,ideal_point_3,ideal_point_4,ideal_point_5,ideal_point_6,ideal_point_7,ideal_point_8,ideal_point_9,ideal_point_10,ideal_point_11,ideal_point_12,ideal_point_13,ideal_point_14
0,"3
",0.06272086,-0.03966877,0.7720108,-0.21471691,0.07743885,-0.0058075986,0.030229593,0.03924803,0.008564811,-0.054071303,-0.16458957,-0.063187174,-0.24448948,0.22862242,-0.17363007
1,"1057
",-0.07792465,-0.03792798,0.1207546,0.13495305,-0.045904297,0.050870314,-0.031843968,-0.115342654,0.019588847,-0.22068906,0.17216422,-0.21982278,0.14342909,-0.6911487,0.19096561
2,"1088
",0.8182185,-0.018966088,0.16532274,-0.008950942,0.1640265,1.1475567,-0.06793302,-0.018273443,0.08199151,0.21938103,0.020855643,0.005831735,0.26899356,0.06365385,0.075492956
3,"1265
",0.08485201,-0.022602664,0.3031193,0.11428143,0.026229167,-0.13511498,0.07091104,-0.006797698,-0.23253153,0.12640253,0.06150971,-0.057403307,0.5616256,-0.059171297,0.009949184
4,"1464
",-0.025021115,-0.016675891,-0.028784256,-0.0059900605,0.6685221,-0.041938603,0.81234515,-0.014206575,0.06501008,-0.002048398,0.48995715,0.0020124195,0.17980216,0.22172806,-0.11535657
5,"1549
",-0.02322274,-0.04617659,-0.035507757,-0.9412796,-0.17890877,-0.018205063,-0.07976094,0.073777825,0.4105781,0.08372552,-0.7050619,0.027219681,0.070800446,0.9044074,0.021296509
6,"2151
",-0.06080682,0.05300064,0.35587016,-0.46691453,-0.13092226,0.0957711,-0.0034953982,-0.065635875,-0.11335558,-0.023250481,-0.5029551,-0.08698382,0.19566146,-0.066049665,0.10790762
7,"2157
",-0.13113192,0.00014132496,0.32614803,0.06672113,-0.7988147,-0.026099445,0.15755503,-0.11979328,-0.046283893,-0.060308702,-0.029322103,-0.033760272,-0.4046816,0.09214671,-0.07134047
8,"2164
",-0.030519312,0.046146143,0.07566174,0.4295968,0.4273998,0.08839116,0.053698957,-0.013941621,0.07037435,0.4725131,-0.029908845,-0.09631212,0.5160021,0.28613546,0.21339811
9,"3332
",0.039177407,-0.03836053,-0.12208594,0.50798196,0.036646057,0.2989299,-0.124475196,-0.016243406,-0.26451513,-0.7947724,0.22412153,-0.06988858,0.37987933,-0.37573174,0.01862926
