,name,ideal_point_0,ideal_point_1,ideal_point_2,ideal_point_3,ideal_point_4,ideal_point_5,ideal_point_6,ideal_point_7,ideal_point_8,ideal_point_9,ideal_point_10,ideal_point_11,ideal_point_12,ideal_point_13,ideal_point_14,ideal_point_15,ideal_point_16,ideal_point_17,ideal_point_18,ideal_point_19,ideal_point_20,ideal_point_21,ideal_point_22,ideal_point_23,ideal_point_24,ideal_point_25,ideal_point_26,ideal_point_27,ideal_point_28,ideal_point_29
0,"3
",-0.0034149732,0.0020608061,-0.026606077,0.034118507,-0.0017673855,-0.09393547,-0.05383783,0.013464612,-0.040685635,-0.33599883,-0.10264283,0.06301985,-0.008733543,0.058899216,-0.011481487,0.053009614,-0.08882082,0.45450914,-0.20297697,-0.06769512,0.0074468735,-0.023300719,-0.005392208,-0.104107425,-0.018591566,0.044719737,-0.057824485,0.124040835,0.033001166,-0.04382817
1,"1057
",-0.13584167,0.053464346,0.010113105,-0.007821648,-0.08900782,0.05952787,-0.040851038,0.10469065,-0.04533376,0.051160473,0.01449863,0.036187112,-0.0012537272,0.007110979,-0.005126329,0.02213309,-0.15298752,0.0146230105,0.7135007,0.2380329,0.20379464,0.0129764695,-0.01739433,-0.03321734,0.038373016,-0.005987282,0.0014158853,-0.036520284,0.03161375,-0.041249353
2,"1088
",0.14506027,-0.010304124,0.012490122,-0.05081481,-0.13458623,0.0048395447,0.007915497,-0.021321343,-0.023478722,0.06957406,0.023580173,-0.009292232,0.0006705895,0.025952619,-0.007948647,0.031227745,-1.3537067,0.10683783,-0.0023992858,0.0046486743,-0.0058519645,-0.009954478,0.012584641,-0.059769046,0.027973123,-0.010885057,-0.023762476,-0.016554385,-0.032756817,-0.013125641
3,"1265
",0.28237695,0.054534767,-0.01830583,-0.3934981,-0.05007468,-0.0038391487,0.011173608,0.17046437,0.018118875,-0.40568256,0.35050777,-0.5610915,0.0074385284,0.0032523312,-0.040364843,0.33447087,0.00955833,0.052635588,0.70961964,-0.07971566,0.04433507,-0.013862102,-0.030355137,-0.07856644,0.033239618,0.03973225,-0.022434503,-0.07631439,0.018843051,-0.056716844
4,"1464
",0.1361798,0.009470932,-0.005164568,-0.03353461,-0.020242037,0.0068661086,0.01874685,1.2719736,-0.031144647,-0.51322293,0.34301814,-0.004267683,0.012033538,-0.009119713,0.010971653,0.10601811,0.048730664,-0.04193392,-0.5130902,0.046443265,-0.030957049,-0.011979597,0.0022768057,-0.02722454,-0.0035704304,0.075488016,-0.007805406,0.024958415,-0.043184802,-0.015953256
5,"1549
",0.62292266,-0.01859006,-0.2743652,0.034942243,-0.34909463,0.023269376,0.038647182,0.19581527,-0.02393796,-0.13863759,0.23164627,-0.96170604,-0.0015610938,-0.07038801,0.22433904,-0.069851354,-0.06352501,0.31827483,0.20196535,-0.02543794,-0.029674133,-0.045359287,0.005795405,-0.08124292,0.032316625,-1.8209043,0.0044262884,0.04243176,0.045645252,-0.011120479
6,"2151
",0.87879175,0.02433592,0.020611083,-0.10969431,-0.10549755,-0.0034874135,-0.015963897,-0.012637168,0.07542047,-0.5575907,0.29032034,0.109477244,0.011890193,-0.024670124,-0.020086927,0.18595147,-0.051811345,0.25677338,-0.021995451,0.021241136,0.31818938,-0.011677854,0.0014021554,-0.0651763,0.016039925,-0.76033485,0.011884707,0.07842552,0.026513712,-0.002720747
7,"2157
",-0.082410775,-0.022090985,-0.011372398,0.18322235,-0.16571353,0.09097998,-0.047853913,0.12271717,0.11769746,-0.1147034,-0.20072259,-0.19312425,-0.0147863515,0.01006426,-0.060964108,-0.16001678,0.12969862,-0.26302978,-0.07310014,0.017484391,0.06177385,-0.04836416,0.011756387,-0.041932933,0.055831626,0.15823688,0.021813808,0.18895893,0.15347442,-0.0036198585
8,"2164
",0.38960513,-0.00774873,0.0064279484,0.041942663,-0.07444175,0.08566052,-0.05164339,0.39809203,-0.03881727,-0.55292714,0.68215364,-0.011193864,-0.0045026913,0.027249811,0.008731726,0.49174356,0.12571698,0.47931802,-0.18629709,0.010481967,-0.16899595,-0.016699903,0.012807681,-0.09380078,0.004521083,-0.116897956,-0.38245752,-0.14534608,-0.03532615,0.015070988
9,"3332
",-0.43492374,0.0054060854,0.08033474,0.110025674,0.2607933,0.030138427,-0.024246834,0.11892271,-0.030228378,-0.15954348,0.30734795,-0.1549501,0.007230381,0.043175887,-0.026579604,0.6227095,-0.031532925,0.04221381,0.06720978,-0.01296269,0.040190894,-0.034340832,0.008149799,0.412767,-0.028200822,0.027883204,-0.001118223,0.08142015,-0.009270148,-0.08456242
